Date,Symbol,Entry,Exit,Score,Result,PnL_Pct,Balance,Profit_Cash
7,DSCW,0.779334,0.8572674,0.67,TARGET HIT 🎯,0.1,114950,1000.0
7,SCFM,34.799999,38.2799989,0.95,TARGET HIT 🎯,0.1,185128,1000.0
7,KRDI,1.483,1.6313000000000002,0.63,TARGET HIT 🎯,0.1,133100,1000.0
7,NBKE,17.51,16.6345,0.93,STOP LOSS ❌,-0.05,95000,-500.0
7,MEPA,1.121,1.0649499999999998,0.7,STOP LOSS ❌,-0.05,114950,-500.0
7,WCDF,246.03999,270.64398900000003,0.85,TARGET HIT 🎯,0.1,110000,1000.0
8,SCFM,34.200001,37.6200011,0.91,TARGET HIT 🎯,0.1,203640,1000.0
8,KABO,2.920389,2.77436955,0.66,STOP LOSS ❌,-0.05,89595,-500.0
8,EGREF,10.95,10.402499999999998,0.96,STOP LOSS ❌,-0.05,114116,-500.0
8,APPC,1.0,1.1,0.76,TARGET HIT 🎯,0.1,110000,1000.0
8,OFH,0.389,0.36955,0.62,STOP LOSS ❌,-0.05,104500,-500.0
8,EPPK,7.99,8.789000000000001,0.65,TARGET HIT 🎯,0.1,110000,1000.0
8,MOIN,4.721884,5.1940724000000005,0.6,TARGET HIT 🎯,0.1,110000,1000.0
8,DSCW,0.826667,0.9093337000000001,0.72,TARGET HIT 🎯,0.1,126445,1000.0
8,SCTS,74.889999,82.37899890000001,0.96,TARGET HIT 🎯,0.1,175871,1000.0
8,SVCE,2.3,2.53,0.63,TARGET HIT 🎯,0.1,161051,1000.0
9,DSCW,0.866667,0.8233336499999999,0.72,STOP LOSS ❌,-0.05,120122,-500.0
9,SCFM,35.0,38.5,0.96,TARGET HIT 🎯,0.1,224005,1000.0
9,ACAP,0.596,0.6556000000000001,0.66,TARGET HIT 🎯,0.1,133100,1000.0
9,EGREF,10.5,11.55,0.96,TARGET HIT 🎯,0.1,125528,1000.0
9,OFH,0.4,0.38,0.63,STOP LOSS ❌,-0.05,99275,-500.0
9,KRDI,1.522,1.6742000000000001,0.63,TARGET HIT 🎯,0.1,146410,1000.0
9,KABO,2.90321,2.7580495,0.63,STOP LOSS ❌,-0.05,85115,-500.0
